2,pasear al perro,3,salud,False
5,pasear al perro,3,salud,False
6,bañar al perro,3,salud,False
7,bañar al perro,3,salud,False
8,bañar al perro,3,salud,False
9,bañar al perro,3,higiene,False
10,bañar al perro,3,higiene,False
11,pasear al perro,3,salud,False
12,pasear al perro,3,salud,False
13,pasear al perro,3,salud,False
14,pasear al perro,3,salud,False
15,pasear al perro,3,salud,False
16,pasear al perro,3,salud,False
17,pasear al perro,3,salud,False
18,pasear al perro,3,salud,False
3,bañar al gato,2,higiene,False
4,bañar al perro,2,higiene,False
1,BaÃ±arme,1,aseo,True
